"filename", "language", "Markdown", "Python", "JSON", "Shell Script", "pip requirements", "JavaScript", "JavaScript JSX", "PostCSS", "HTML", "comment", "blank", "total"
"d:\nyaymargadarshak\README.md", "Markdown", 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 336
"d:\nyaymargadarshak\backend\controllers\authController.js", "JavaScript", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 13, 51
"d:\nyaymargadarshak\backend\controllers\chatController.js", "JavaScript", 0, 0, 0, 0, 0, 124, 0, 0, 0, 23, 24, 171
"d:\nyaymargadarshak\backend\controllers\contactController.js", "JavaScript", 0, 0, 0, 0, 0, 60, 0, 0, 0, 8, 11, 79
"d:\nyaymargadarshak\backend\controllers\lawyerController.js", "JavaScript", 0, 0, 0, 0, 0, 141, 0, 0, 0, 0, 31, 172
"d:\nyaymargadarshak\backend\controllers\legalController.js", "JavaScript", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 11, 56
"d:\nyaymargadarshak\backend\middleware\auth.js", "JavaScript", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 5, 25
"d:\nyaymargadarshak\backend\models\db.js", "JavaScript", 0, 0, 0, 0, 0, 101, 0, 0, 0, 0, 7, 108
"d:\nyaymargadarshak\backend\package-lock.json", "JSON", 0, 0, 1815, 0, 0, 0, 0, 0, 0, 0, 1, 1816
"d:\nyaymargadarshak\backend\package.json", "JSON", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 1, 23
"d:\nyaymargadarshak\backend\routes\auth.js", "JavaScript", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 3, 11
"d:\nyaymargadarshak\backend\routes\chat.js", "JavaScript", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 3, 14
"d:\nyaymargadarshak\backend\routes\contacts.js", "JavaScript", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 3, 10
"d:\nyaymargadarshak\backend\routes\lawyers.js", "JavaScript", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 3, 15
"d:\nyaymargadarshak\backend\routes\legal.js", "JavaScript", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 3, 13
"d:\nyaymargadarshak\backend\scripts\initDb.js", "JavaScript", 0, 0, 0, 0, 0, 135, 0, 0, 0, 5, 11, 151
"d:\nyaymargadarshak\backend\scripts\migrate_chat.js", "JavaScript", 0, 0, 0, 0, 0, 85, 0, 0, 0, 29, 16, 130
"d:\nyaymargadarshak\backend\server.js", "JavaScript", 0, 0, 0, 0, 0, 46, 0, 0, 0, 8, 13, 67
